Target_Genre,Mapped_Anchor_Genre,B2B_Platform_Category,Suno_Style_Prompt,Negative_Prompt,Suggested_Album_Title
pop,Alternative Pop / Dark Pop (얼터너티브 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"pop, 75-105 bpm, minimalist sub-bass, organic foley percussion, clean delayed synth pluck, muted acoustic piano, subtle digital soundscapes","no massive edm supersaw leads, no heavy high-gain rock guitars, no high-tempo happy hardcore, no traditional large orchestral strings, no traditional belt singing",The Sound of pop - 호텔 라운지
rap,Emo Rap / Sad Trap (이모 랩),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"rap, 75-90 bpm, melancholic acoustic guitar loops, rolling 808 sub-bass, slow trap drums, faded ambient pads, lofi vinyl crackle","no cheerful major scale pop melodies, no aggressive fast industrial techno beats, no old-school organic boom bap drums, no progressive metal guitar solos, no traditional country banjo",The Sound of rap - 호텔 라운지
rock,Post-Rock / Instrumental Cinematic Rock (포스트 록),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"rock, 70-100 bpm, swelling ambient guitars, weeping cinematic string sections, slow building acoustic drums, heavy crescendo walls, clean melodic bass","no traditional high-speed rock guitar shredded solos, no modern electronic trap drum machine loops, no digital autotune voice shifting, no cheerful radio-friendly pop choruses",The Sound of rock - 호텔 라운지
urbano latino,UK Bassline / Speed Garage (UK 베이스라인),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"urbano latino, 135-142 bpm, warped bassline, heavy 4/4 garage kick, crisp skipping hi-hats, piercing alarm sirens, rapid vocal chops","no slow hiphop boom bap loops, no soft acoustic folk ballads, no traditional jazz chord progressions, no bright emotional grand piano, no heavy rock metal distortion",The Sound of urbano latino - 호텔 라운지
hip hop,Trip-Hop / Bristol Sound (트립합),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"hip hop, 70-85 bpm, heavy smoky breakbeats, dark vinyl crackle, ominous deep bass, melancholic rhodes piano, vinyl scratching, moody cinematic strings","no fast electronic house dance beats, no aggressive electronic festival drops, no heavy metal high-gain guitars, no bright cheerful major scale piano, no rapid trap hihat rolls",The Sound of hip hop - 호텔 라운지
trap latino,Trap Music (트랩),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"trap latino, 130-145 bpm, 808 sub-bass boom, rapid hi-hat rolls, crisp electronic snare, dark piano loops, brass hits","no acoustic live drums, no classic rock electric guitars, no slow country folk banjo, no bright major scale pop chords, no vintage tape hiss",The Sound of trap latino - 호텔 라운지
dance pop,Alternative Pop / Dark Pop (얼터너티브 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"dance pop, 75-105 bpm, minimalist sub-bass, organic foley percussion, clean delayed synth pluck, muted acoustic piano, subtle digital soundscapes","no massive edm supersaw leads, no heavy high-gain rock guitars, no high-tempo happy hardcore, no traditional large orchestral strings, no traditional belt singing",The Sound of dance pop - 호텔 라운지
pop rap,Alternative Pop / Dark Pop (얼터너티브 팝),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"pop rap, 75-105 bpm, minimalist sub-bass, organic foley percussion, clean delayed synth pluck, muted acoustic piano, subtle digital soundscapes","no massive edm supersaw leads, no heavy high-gain rock guitars, no high-tempo happy hardcore, no traditional large orchestral strings, no traditional belt singing",The Sound of pop rap - 호텔 라운지
modern rock,Stoner Rock / Doom Metal (스토너 록 / 둠 메탈),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"modern rock, 60-85 bpm, fuzzy down-tuned guitars, heavy vintage bass, slow massive drum beats, vintage analog amplifiers, psychedelic organ","no rapid double-bass blast beats, no fast neon electronic synths, no crystal clear modern pop autotune, no bright major scale acoustic guitar, no hiphop trap hihats",The Sound of modern rock - 호텔 라운지
pov: indie,Modern K-Indie / Sentimental Rock (모던 케이인디),호텔 라운지 / 스타트업 집중력 향상 / 명상 및 스파 공간,"pov: indie, 80-105 bpm, warm acoustic guitar, vintage electric guitar, soft acoustic drums, melodic bass guitar, warm nostalgic synth pads","no heavy metal high-gain distortion, no aggressive autotune rap, no electronic trap drum loops, no massive edm drops, no futuristic hyperpop synths",The Sound of pov: indie - 호텔 라운지
